Item Name,Item Description,Story
Iosefka's Blood Vial,"Blood vial acquired from Iosefka's clinic. This refined blood, highly invigorating, restores a larger amount of HP. The product of a slow and careful refinement process, this rare blood vial appears to be a clinic original.","The blood vial was acquired from Iosefka's clinic. It was a rare blood vial that was highly invigorating. It restored a larger amount of HP than other blood vials. The product of a slow and careful refinement process, this blood vial appeared to be a clinic original."
Irithyll Rapier,"Thrusting sword bestowed upon the Outrider Knights of the Boreal Valley. This weapon is shrouded in frost, and causes frostbite. Every Outrider Knight one day devolves into a beast, constantly hounded by Pontiff Sulyvahn's black eyes. Skill: Shield Splitter Aim carefully, and attack in a large forward lunge to pierce through enemy shields and inflict damage directly.","The Outrider Knights of the Boreal Valley were once stalwart defenders of the kingdom, but one day they all turned into beasts. Now, the Pontiff Sulyvahn hunts them relentlessly, and only the sharpest of swords can stop him. This sword is said to be blessed with the power to turn its wielder into a beast, but it requires great skill to use it correctly."
Irithyll Straight Sword,".Straight sword bestowed upon the Outrider Knights of the Boreal Valley. This weapon is enshrouded in frost, and causes frostbite. Every Outrider Knight one day devolves into a beast, constantly hounded by Pontiff Sulyvahn's black eyes.","The Straight Sword of the Outrider Knights is a legendary weapon that is said to cause frostbite. One day, every Outrider Knight will turn into a beast and be constantly hounded by Pontiff Sulyvahn."
Iron Ball,"Iron manifer of spherical shape. Big Boggart the blackguard's weapon of choice. Not a weapon to be taken lightly, as its weighty blows shatter bones with ease.","The Iron Manifer is a massive, spherical weapon that is incredibly heavy. It is made out of iron, and its blows are powerful enough to shatter bones. Big Boggart is the blackguard who uses this weapon as his favorite weapon, and it is not to be taken lightly."
Iron Cleaver,"Fairly large iron cleaver, commonly used by the maltreated Misbegotten. Steeped in resentment, these weapons are swung wildly and relentlessly, often after rushing up to foes.","The iron cleaver is a common weapon used by the maltreated. It is steeped in resentment, and is swung wildly and relentlessly. Often, after rushing up to foes, it is the final act of violence that seals their fate."
Iron Door Key,"Of the three great bridges that link the two cathedral cradles, this key opens the iron door that leads to the midlevel bridge. There are no thieves in the nightmare. Then, why lock a door? Be warned, there must be a very, very good reason.","The key opens the door to the bridge that links the two cathedral cradles. It's a dark and spooky place, and there are no thieves in the nightmare. But, why lock the door? There must be a very good reason."
Iron Door Key,"Of the three great bridges that link the two cathedral cradles, this key opens the iron door that leads to the midlevel bridge. There are no thieves in the nightmare. Then, why lock a door? Be warned, there must be a very, very good reason.","The key opens the iron door that leads to the midlevel bridge. It is a dark and dreary place, and there are no thieves in the nightmare. Then, why lock a door? Be warned, there must be a very, very good reason."
Iron Greatarrow,"Standard greatarrows made of iron. More effective than regular arrows, but considerably heavier.","The greatarrows were much more effective than regular arrows, but they were considerably heavier. They were perfect for taking down large creatures, and they were very popular among hunters."
Iron Greatsword,"Greatsword with a blade of unusually thick steel. A coarse weapon to which polishing is a foreign concept. Weighty even among others of its class, the impact of each strike is sure to be felt.","The greatsword is a hefty weapon, one that is not often seen in the hands of others. The blade is made of unusually thick steel, and despite its weight, the weapon is surprisingly agile. The impact of each strike is sure to be felt, and with its coarse design, it is sure to leave a mark on any opponent it comes into contact with."
Iron Kasa,"Iron kasa of the man who calls himself Shabriri. Crafted to imitate the woven straw hats worn in the Land of Reeds. The man, once known as Yura, kept a woman in the deepest reaches of his heart.","Once, there was a man who called himself Shabriri. He was a wanderer, always on the move, always searching for new and exciting things to do. One day, he met a woman who caught his eye. She was beautiful, and her skin was the color of the reeds that grew in the Land of Reeds. Yura fell in love with her, and he decided to stay with her in the Land of Reeds. He made a hat out of"
